Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
1/11/2001,4.171,2.435,0.872,-0.588,0.683,0.769,3.436,0.626,0.109
1/12/2001,3.935,2.331,0.902,-0.539,0.649,0.592,3.308,0.55,0.077
1/16/2001,4.07,2.315,0.973,-0.501,0.64,0.643,3.402,0.589,0.079
1/17/2001,3.916,2.225,0.962,-0.56,0.632,0.657,3.364,0.452,0.1
1/18/2001,3.782,2.217,0.896,-0.534,0.605,0.598,3.189,0.499,0.094
1/19/2001,3.694,2.185,0.914,-0.482,0.575,0.502,3.135,0.496,0.063
1/22/2001,3.676,2.123,0.906,-0.431,0.563,0.515,3.109,0.506,0.061
1/23/2001,3.415,2.074,0.844,-0.432,0.501,0.428,2.857,0.495,0.063
1/24/2001,3.461,2.064,0.827,-0.442,0.553,0.459,2.945,0.45,0.066
1/25/2001,3.478,2.015,0.846,-0.422,0.627,0.412,2.963,0.45,0.065
1/26/2001,3.47,2.029,0.85,-0.425,0.624,0.392,2.966,0.435,0.069
1/29/2001,3.293,2.019,0.818,-0.402,0.525,0.333,2.781,0.444,0.068
1/30/2001,3.387,1.97,0.784,-0.404,0.719,0.318,2.867,0.454,0.066
1/31/2001,3.153,1.961,0.811,-0.448,0.583,0.246,2.599,0.484,0.07
2/1/2001,3.551,1.929,0.865,-0.381,0.642,0.496,2.725,0.749,0.077
2/2/2001,3.631,1.913,0.947,-0.373,0.67,0.474,2.804,0.748,0.079
2/5/2001,3.548,1.896,0.928,-0.333,0.568,0.489,2.687,0.777,0.084
2/6/2001,3.539,1.856,0.926,-0.328,0.643,0.442,2.737,0.716,0.086
2/7/2001,3.454,1.862,0.963,-0.366,0.593,0.402,2.725,0.65,0.079
2/8/2001,3.405,1.848,0.989,-0.387,0.559,0.396,2.678,0.642,0.085
2/9/2001,3.522,1.864,1.057,-0.416,0.593,0.424,2.776,0.659,0.087
2/12/2001,3.518,1.874,0.992,-0.402,0.568,0.486,2.757,0.673,0.088
2/13/2001,3.468,1.887,1.027,-0.386,0.531,0.409,2.694,0.681,0.093
2/14/2001,3.586,1.87,1.04,-0.335,0.555,0.456,2.738,0.741,0.107
2/15/2001,3.508,1.823,0.994,-0.29,0.555,0.426,2.665,0.727,0.116
2/16/2001,3.706,1.903,1.091,-0.313,0.557,0.468,2.849,0.767,0.09
2/20/2001,3.814,1.925,1.163,-0.297,0.487,0.536,2.956,0.789,0.069
2/21/2001,4.024,1.974,1.245,-0.311,0.49,0.626,3.148,0.816,0.06
2/22/2001,4.057,1.987,1.242,-0.319,0.482,0.665,3.268,0.735,0.054
2/23/2001,4.408,2.033,1.268,-0.296,0.673,0.73,3.507,0.852,0.049
2/26/2001,4.096,2.034,1.178,-0.354,0.602,0.636,3.249,0.803,0.044
2/27/2001,3.992,2.044,1.205,-0.381,0.448,0.676,3.152,0.801,0.039
2/28/2001,4.041,2.099,1.267,-0.399,0.302,0.772,3.176,0.827,0.038
3/1/2001,4.11,2.034,1.258,-0.377,0.403,0.792,3.217,0.854,0.039
3/2/2001,4.176,2.057,1.274,-0.382,0.432,0.795,3.261,0.875,0.04
3/5/2001,4.007,2.042,1.229,-0.374,0.418,0.692,3.135,0.85,0.022
3/6/2001,3.804,2.038,1.165,-0.349,0.43,0.52,3.004,0.788,0.012
3/7/2001,3.744,2.024,1.127,-0.398,0.53,0.461,2.988,0.744,0.012
3/8/2001,3.731,2.014,1.112,-0.416,0.538,0.483,2.966,0.756,0.009
3/9/2001,3.698,1.998,1.222,-0.416,0.433,0.461,2.983,0.734,-0.019
3/12/2001,4.432,2.036,1.418,-0.448,0.693,0.733,3.663,0.795,-0.026
